Business,Email,Category,Location
SO/ Bangkok,h6835@sofitel.com,Dining/Hotel,Bangkok
Morning Kiss Beyond,proudtopray@hotmail.com,Spa/Nails,Bangkok
So Thai Spa Bangkok,booking@sothaispabkk.com,Spa,Bangkok
Parrish Jones Barber Bangkok,bangkok@parrishjones.com,Barber,Bangkok
The Esquire Barber Club,the.esquirebarberclub@gmail.com,Barber,Bangkok
Capella Bangkok Auriga Wellness,auriga.bangkok@capellahotels.com,Spa,Bangkok
Rosewood Bangkok Salon,bangkok.spa@rosewoodhotels.com,Spa/Salon,Bangkok
Oasis Spa Bangkok,res@oasisspa.net,Spa,Bangkok
JW Cafe Bangkok,mibangkokfb.rst.rsvn@marriotthotels.com,Restaurant,Bangkok
James Mac Studio,jamesmac@me.com,Salon,Bangkok
The Peninsula Bangkok Spa,spapbk@peninsula.com,Spa,Bangkok
The Pilates Studio Bangkok,info@pilates.co.th,Pilates,Bangkok
Polestar Pilates Asia,annie@thepilatesbangkok.com,Pilates,Bangkok
Polestar Pilates Asia (Secondary),polestarpilates.thailand@gmail.com,Pilates,Bangkok
Kimpton Maa-Lai Bangkok Amaranth Spa,spa.kimptonmaalai@ihg.com,Spa,Bangkok
Vanilla Nail Spa,vanillanailspashop@gmail.com,Nails,Bangkok
Health Land Asoke,reservation@healthland.co.th,Spa,Bangkok
Spring Massage & Spa,springspa.reservation@gmail.com,Spa,Bangkok
Arabian Tea House,info@arabianteahouse.com,Cafe,Dubai
Arabian Tea House - Jumeirah,branch04@arabianteahouse.com,Cafe,Dubai
Arabian Tea House - Al Bastakiya,branch01@arabianteahouse.com,Cafe,Dubai
Cafe Belge DIFC,cafebelgedifc@ritzcarlton.com,Restaurant/Cafe,Dubai
Cafe Wayfarer,welcome@cafewayfarer.com,Cafe,Dubai
Roasters Specialty Coffee House,beans@roastercoffee.ae,Cafe,Dubai
Saraya Specialty Coffee Roasters,info@coffeesaraya.com,Cafe,Dubai
TeaTime Cafe,info@teatimecafe.ae,Cafe,Dubai
Palazzo Versace Dubai - The SPA,spa@palazzoversace.ae,Spa,Dubai
Soul Wellness & Spa,soulwellnessspa@sheratongranddubai.com,Spa,Dubai
Address Beach Resort - The Spa,TheSpaAtBeachResort@addresshotels.com,Spa,Dubai
NYSA Spa at Hyatt Regency Dubai Creek Heights,Nysa.dxbhc@hyatt.com,Spa,Dubai
CG Barbershop,info@cgbarbershop.com,Barber,Dubai
DXB Barber,info@dxbbarber.ae,Barber,Dubai
The Barbers Corner,info@thebarberscorner.com,Barber,Dubai
SKILLS Dubai Barbershop,skillsdxb@gmail.com,Barber,Dubai
N.Bar,info@nbar.com,Nails,Dubai
We Nails Dubai,Bookings@wenails.ae,Nails,Dubai
Beauty Icon Salon,info@beautyiconsalon.com,Salon,Dubai
Fijii Cuts,fijiicutsbarbershop@gmail.com,Barber,Bangkok
C&B Gentlemen’s Barber,cbbangkok@gmail.com,Barber,Bangkok
Hair & Stache Barbershop,hairandstache@gmail.com,Barber,Bangkok
BodyLab Pilates & Fitness,bodylab.th@gmail.com,Pilates,Bangkok
Body Refinery Pilates,bodyrefinery.pilates@gmail.com,Pilates,Bangkok
Gravity BKK,gravitycorebkk@gmail.com,Pilates,Bangkok
Pilates Co.Space,pilatesprop@gmail.com,Pilates,Bangkok
Revive Pilates Bangkok,revivepilatesbkk@gmail.com,Pilates,Bangkok
Vanni Pilates,vannipilatesbangkok@gmail.com,Pilates,Bangkok
Gentsy Barber Shop,Gentsy.barber@gmail.com,Barber,Dubai
Musk Barbershop,muskbarbershop@gmail.com,Barber,Dubai
Billy Cuts Barbershop,billycutsbarbershop@gmail.com,Barber,Dubai
The Good Hood Barbershop,ianwarrenthebarber@gmail.com,Barber,Dubai
Casa Barbershop,casadxbbarbershop@gmail.com,Barber,Dubai
Project Hairway,projecthairway@gmail.com,Barber,Dubai
Pavarotti Café Lac 1,pastapavarotti@gmail.com,Cafe,Tunis
Hookah Lounge 103,hookahlounge@gmail.com,Cafe,Tunis
Flavory Coffee & Food,flavorycoffeetunisia@gmail.com,Cafe,Tunis
GAL Coffee & Kitchen,galcoffee@gmail.com,Cafe,Sousse
Les Champs Elysées,leselysee.cafe@gmail.com,Cafe,Sousse
Chillout Coffee Shop,Hosnianis23@gmail.com,Cafe,Sousse
The Royce chez Bassem,theroyce@gmail.com,Cafe,Sfax
Don Café,don.cafe.2022@gmail.com,Cafe,Sfax
Salon De Thé Kalaa,coffekala9@gmail.com,Cafe,Sfax
Twiggy Club,contacttwiggyclub@gmail.com,Restaurant/Bar,Tunis
Centre Essaraya,contact.essaraya@gmail.com,Restaurant,Tunis
Yüka Tunis,yuka.creative@gmail.com,Bar,Tunis
Beb Bhar,contact.bebbhar@gmail.com,Restaurant/Bar,Tunis
